id,heat_deviation,speed_deviation,assembly_line_num,days_since_last_service,sensor_back,sensor_front,operator
40000,-2.512865879,-2.217972386,assembly_0,100,-0.766846477,2.117145222,operator2
40001,-2.11354103,-0.375901639,assembly_0,102,-1.305312793,2.176452851,operator2
40002,0.731019981,1.289613651,assembly_0,99,-1.580589455,-2.828960393,operator2
40003,-0.067200371,2.532057689,assembly_2,102,-0.964481972,0.610487255,operator1
40004,2.429419168,0.849482812,assembly_1,102,-0.081782101,-0.826262986,operator2
40005,-1.941779406,-0.840226719,assembly_0,100,-0.970784658,1.075779561,operator4
40006,-1.382248594,2.360858096,assembly_1,100,-1.378457138,0.117317904,operator3
40007,-1.704881737,2.881203543,assembly_2,102,-1.223834698,2.394478955,operator2
40008,-0.341807875,-0.938753169,assembly_2,101,1.422937939,2.984234766,operator4
40009,-0.180877017,0.518527336,assembly_1,100,-0.220444667,0.078526168,operator2
40010,0.283692227,-2.065325999,assembly_0,99,0.566316385,-0.155227572,operator2
40011,-1.517966814,0.578971404,assembly_2,100,0.020808445,1.714139234,operator2
40012,0.430821082,-0.184916377,assembly_1,99,0.418533802,-0.524345586,operator4
40013,2.00904684,-0.471501178,assembly_1,99,-0.855814007,-3.470083593,operator4
40014,-1.089809189,-1.823683013,assembly_0,99,-0.517031533,0.130953878,operator3
40015,0.371806584,1.48609837,assembly_0,101,-1.104778673,-0.37003876,operator2
40016,-2.244699493,-1.371902093,assembly_0,100,-1.022476044,1.291106531,operator2
40017,-1.955549028,1.925335158,assembly_3,103,-0.179914141,4.288192898,operator2
40018,-0.815249079,-2.009396167,assembly_1,98,1.275342079,1.175979999,operator3
40019,0.438126249,-0.263035087,assembly_1,100,0.775234045,0.838800282,operator3
40020,-2.628061035,-0.053642463,assembly_1,99,0.00444933,2.632492766,operator2
40021,-3.078269772,-0.677307333,assembly_4,101,2.311237398,6.442174149,operator3
40022,-4.128235798,-0.85219059,assembly_0,102,-1.788974463,3.671006203,operator2
40023,-1.138602788,1.784660957,assembly_1,98,-0.95100272,-0.722762311,operator3
40024,-2.041389593,1.681242171,assembly_2,99,-0.413523756,1.464482799,operator4
40025,-0.24028164,3.15218696,assembly_2,103,-1.547141208,0.760775957,operator3
40026,-0.857657512,2.71239187,assembly_2,104,-1.017348112,2.709485736,operator3
40027,-0.333345661,1.171292222,assembly_1,101,-0.544920103,0.712635077,operator2
40028,-0.064725832,0.428451619,assembly_0,100,-0.486686994,-0.151615191,operator3
40029,-1.748262186,-0.649497375,assembly_2,99,1.10309687,2.774497477,operator2
40030,-2.21286367,0.055663431,assembly_0,102,-1.566087994,1.938515637,operator3
40031,1.725098176,-1.971257413,assembly_0,100,0.726600699,-0.962289008,operator2
40032,-2.224382266,-0.771490264,assembly_3,103,1.416920812,5.885287703,operator2
40033,-1.155755396,-0.23422635,assembly_3,101,1.306987043,3.499628806,operator2
40034,-0.446002848,-2.338033455,assembly_1,99,-0.272875962,-0.604359064,operator2
40035,0.759688577,3.735143668,assembly_0,101,-3.014791079,-3.089201462,operator2
40036,-1.062653812,-0.75432015,assembly_1,99,0.521106767,1.198554537,operator3
40037,0.586394009,-2.282843193,assembly_0,100,0.164974023,-0.200470182,operator4
40038,-1.864760705,-0.6150817,assembly_0,101,-0.742418395,1.826316391,operator3
40039,-1.571681055,-2.288611509,assembly_1,100,-0.521517088,1.213124879,operator2
40040,-2.319288076,0.613648522,assembly_3,99,1.20101149,3.469309675,operator4
40041,-0.302693929,-3.947874557,assembly_1,99,0.535681992,0.190242788,operator3
40042,0.53732597,1.838796189,assembly_1,99,-2.45193557,-3.274455425,operator2
40043,-0.287076441,-1.311088805,assembly_0,100,-0.152352768,0.160649641,operator2
40044,-1.942500221,-0.323718525,assembly_1,100,0.320806235,2.924290411,operator2
40045,-0.601549205,-2.313197944,assembly_0,99,0.696031503,0.984276929,operator4
40046,-2.081288221,-0.747985951,assembly_0,100,-0.55167431,2.071071049,operator3
40047,-1.500663016,2.234632324,assembly_1,100,-1.183233975,0.530839241,operator3
40048,-1.493622441,-0.012402558,assembly_0,101,-0.530815124,1.636947284,operator2
40049,-2.638860826,-2.540122741,assembly_1,99,-0.775859845,1.264191159,operator2
40050,-2.055917814,0.101069173,assembly_0,101,-1.457072006,1.713998355,operator2
40051,-1.758022158,0.396344472,assembly_1,100,-0.495929585,1.641257272,operator3
40052,-0.452918131,-0.635551513,assembly_1,99,0.879722366,1.411152951,operator3
40053,-1.972178233,0.705970279,assembly_2,99,-0.115391984,1.460953532,operator2
40054,-1.726600248,-3.701927301,assembly_0,99,1.263130797,2.298590969,operator2
40055,1.334395387,-1.100669542,assembly_0,100,0.784135438,-0.288937229,operator4
40056,-1.077798992,0.417278455,assembly_0,101,-0.778572993,1.216099703,operator3
40057,-0.22884652,1.90666439,assembly_2,102,-0.504140356,1.404357661,operator4
40058,-1.820508172,-2.084626702,assembly_0,99,0.016743695,1.26177961,operator2
40059,-2.330660399,-0.408639772,assembly_1,100,-0.180584836,2.193928361,operator4
40060,-0.051621106,1.829770383,assembly_1,102,-0.781645365,1.116297345,operator5
40061,-0.655780288,-0.731853062,assembly_1,100,0.262935006,1.456914293,operator3
40062,-0.682540497,2.379031977,assembly_0,99,-1.626804155,-1.384912068,operator2
40063,-1.221055828,2.247886813,assembly_2,101,-0.525855887,1.928257382,operator2
40064,-0.536028439,0.987515521,assembly_3,103,0.628277893,3.607710171,operator2
40065,-1.899256088,1.135605478,assembly_1,99,-0.608088664,1.198139063,operator2
40066,-1.823374744,-1.193224166,assembly_0,101,-0.145258205,2.408288432,operator3
40067,-0.041152493,-1.125088827,assembly_0,101,0.026277579,1.068669855,operator3
40068,0.785926305,-1.075432462,assembly_0,100,-0.228132181,-0.832551823,operator3
40069,0.330555793,1.314034373,assembly_2,99,0.105296501,-0.322936398,operator3
40070,-2.229913628,-2.330623868,assembly_0,99,-0.031523278,1.736305111,operator2
40071,1.441883398,-0.977142822,assembly_0,99,0.683689751,-1.275548614,operator2
40072,-1.586044381,0.702548913,assembly_1,99,-0.605578634,0.76925663,operator2
40073,-1.21657092,-1.568594962,assembly_0,100,-0.51920911,0.847282104,operator2
40074,-1.464887571,2.551718183,assembly_1,102,-1.494704745,1.595227861,operator2
40075,-3.531168798,-2.551071013,assembly_0,98,0.37471445,3.039272671,operator2
40076,-2.164597086,-1.621762979,assembly_2,99,1.848443281,3.717313355,operator3
40077,-0.770272696,-2.136943559,assembly_0,100,0.030680778,1.129728672,operator2
40078,0.51454424,-0.436791952,assembly_0,102,0.093220139,1.035134399,operator3
40079,-0.108865195,-3.354757755,assembly_2,101,-0.316947348,0.263730689,operator3
40080,-1.200735978,0.789820002,assembly_2,101,0.348247388,2.818518988,operator2
40081,0.163246513,-3.613525217,assembly_2,99,0.132918964,-0.536669107,operator3
40082,-0.430481817,-1.540437271,assembly_0,99,0.589692742,0.594077582,operator2
40083,-0.15084818,-0.026060108,assembly_0,101,-0.35204068,0.658090516,operator2
40084,-0.684877687,1.017137025,assembly_1,100,-0.45745773,0.428667395,operator2
40085,-1.372689969,3.319838333,assembly_3,105,-1.371969309,3.367144391,operator4
40086,-3.699069323,-0.61717464,assembly_0,102,-0.954747145,4.146548169,operator3
40087,-1.204201542,-0.189082084,assembly_0,101,-0.4859138,1.328893148,operator3
40088,-1.232801874,1.166740635,assembly_2,102,0.0968594,2.943148876,operator4
40089,-2.169746396,0.449417572,assembly_0,102,-1.20493555,2.44134798,operator2
40090,-0.776461019,0.850728379,assembly_1,101,-0.330440936,1.672148412,operator2
40091,-0.092829665,0.305657008,assembly_0,101,-0.507825844,0.836530146,operator5
40092,0.097485073,4.882783707,assembly_1,104,-2.959016343,-0.1746346,operator4
40093,-1.150666394,-0.508501416,assembly_0,101,-0.450596801,1.762163776,operator3
40094,-1.689764186,-0.035293284,assembly_0,102,-1.37242567,1.655405243,operator2
40095,-0.895556502,-1.124314256,assembly_1,100,-1.067239496,-0.151345942,operator3
40096,-2.114194852,1.899291112,assembly_2,103,-0.8022311,3.327053819,operator2
40097,-0.897559384,2.489481183,assembly_1,104,-1.480731823,2.092660039,operator2
40098,-1.757387187,-1.992976769,assembly_1,99,0.825844818,2.359497943,operator3
40099,0.774892789,-1.754362752,assembly_1,100,-0.301352423,-0.798523116,operator2
40100,-0.305309394,2.004062543,assembly_2,102,-0.763358049,1.209153258,operator2
40101,-1.87243801,1.361088834,assembly_3,101,0.088708984,3.365020276,operator2
40102,0.770137367,-1.927152935,assembly_0,98,1.012183587,-0.394487014,operator4
40103,-0.577020972,2.763513221,assembly_1,101,-1.48483476,0.184554137,operator3
40104,-1.661140957,4.139651036,assembly_3,101,-1.402158689,0.960747343,operator4
40105,-1.667621596,0.540861763,assembly_3,101,0.628362871,3.181498452,operator3
40106,-1.360660801,-1.186624116,assembly_1,99,0.425380623,1.597596294,operator2
40107,-0.684956788,1.161723625,assembly_0,101,-1.859215898,-0.053926317,operator2
40108,-1.780139945,-1.84058873,assembly_0,101,-0.581596445,1.686765621,operator3
40109,-0.831995557,1.952252591,assembly_1,101,-1.26863481,0.439850071,operator3
40110,-2.60141518,0.025655463,assembly_2,101,0.451347569,3.947728345,operator2
40111,-1.153186542,-0.999653564,assembly_0,99,-0.766786592,0.180388456,operator3
40112,-2.402955335,-0.229023904,assembly_2,98,0.714446201,1.90155349,operator3
40113,-1.933632166,1.47253145,assembly_4,102,0.64557513,4.26946543,operator3
40114,0.80853864,-1.35404243,assembly_0,101,0.480705508,0.484946428,operator2
40115,-0.920797337,0.526574119,assembly_1,101,-0.580180223,1.026419886,operator4
40116,-2.339942272,-1.563116256,assembly_0,101,-0.938561623,1.961818459,operator4
